mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.6275002161661783,0.08971603193635504,0.045966386795043945,0.01721991257647099,0.01,3,50,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",0.7974664107485605,0.801213144963145,0.7814803439803439,0.7933866332306833,0.008556841204683021,16
1.0303441683451335,0.4879762771758289,0.04104820887247721,0.012170273256188873,0.01,3,50,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1}",0.7978502879078695,0.8021345208845209,0.7814803439803439,0.7938217175909115,0.008900216851150895,15
0.7362089157104492,0.007325245906079024,0.040320634841918945,0.0013289636521227096,0.01,3,100,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.8190403071017275,0.8147266584766585,0.8261670761670762,0.8199780139151541,0.004717362242027886,12
0.7595844268798828,0.028752936763931845,0.040037314097086586,0.0014860758537006047,0.01,3,100,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1}",0.8188867562380039,0.8145730958230958,0.8264742014742015,0.8199780178451004,0.00491949982898242,11
0.590981642405192,0.02241183848579249,0.04113292694091797,0.004777773437543915,0.01,5,50,0.8,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",0.8154318618042227,0.8121160933660934,0.8099662162162162,0.8125047237955108,0.0022481986317087178,14
0.5386945406595866,0.01251871136984765,0.037923336029052734,0.0021220754006015656,0.01,5,50,1.0,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 50, 'subsample': 1}",0.816046065259117,0.8128071253071253,0.8128839066339066,0.813912365733383,0.0015090789890136915,13
1.474239428838094,0.3881622512528262,0.06416074434916179,0.01689190278724926,0.01,5,100,0.8,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.8363915547024952,0.827779484029484,0.843289312039312,0.8358201169237637,0.006344740450422048,9
0.9278847376505533,0.05983438178535418,0.052657763163248696,0.0018353622272351117,0.01,5,100,1.0,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1}",0.8338579654510556,0.8267813267813268,0.8415233415233415,0.834054211251908,0.006020001881185155,10
0.4498132864634196,0.009751602505948906,0.03148794174194336,0.00035597434844115576,0.1,3,50,0.8,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",0.8636468330134357,0.8602579852579852,0.8531941031941032,0.8590329738218414,0.004354337296152989,7
0.43990381558736164,0.01656981346338156,0.03562005360921224,0.0031121792600100197,0.1,3,50,1.0,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'subsample': 1}",0.8633397312859885,0.8603347665847666,0.8514281326781327,0.858367543516296,0.005057932403628364,8
0.678972085316976,0.003940087819769517,0.041861772537231445,0.0028214752487850728,0.1,3,100,0.8,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.8702495201535508,0.8657862407862408,0.8582616707616708,0.8647658105671541,0.004946924407118592,5
0.7492380142211914,0.1690083992927179,0.05655980110168457,0.02559424573785243,0.1,3,100,1.0,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1}",0.8678694817658349,0.8662469287469288,0.8593366093366094,0.864484339949791,0.003699776337762943,6
0.9809512297312418,0.5267925683175514,0.04570253690083822,0.014145832324307153,0.1,5,50,0.8,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",0.870172744721689,0.8674754299754299,0.859029484029484,0.8655592195755344,0.004746715456405033,3
0.5237387816111246,0.02358313439968337,0.03952630360921224,0.001155000005766043,0.1,5,50,1.0,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50, 'subsample': 1}",0.8703262955854126,0.8667076167076168,0.8587223587223587,0.8652520903384627,0.004847800562379648,4
0.791024367014567,0.005937427664477067,0.04894558588663737,0.0026958581657052392,0.1,5,100,0.8,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.8773128598848369,0.8713912776412777,0.8648648648648649,0.8711896674636598,0.005083871884177845,2
0.7995246251424154,0.030888733803219597,0.047718445460001625,0.0035491579631512834,0.1,5,100,1.0,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1}",0.8770057581573897,0.8720823095823096,0.8657094594594594,0.8715991757330528,0.0046243309285732255,1
